date,temp_f_mean,temp_f_max,temp_f_min,temp_f_std,humidity_mean,humidity_max,humidity_min,humidity_std
2025-05-07,61.934,71.2,57.2,4.298,85.28,94.0,71.0,6.446
2025-05-08,63.942,71.1,58.5,3.637,86.653,96.0,73.0,7.451
2025-05-11,68.335,82.0,61.2,6.26,83.254,96.0,55.0,11.295
2025-05-12,63.038,69.3,59.4,2.982,82.208,90.0,71.0,5.705
2025-06-02,64.778,70.3,61.5,2.778,90.728,98.0,77.0,6.053
2025-06-03,62.317,66.7,59.2,2.049,95.145,99.0,87.0,3.82
2025-06-04,63.16,66.2,58.8,1.784,89.56,99.0,84.0,3.723
2025-06-05,62.16,65.3,60.3,1.253,92.906,98.0,86.0,4.098
2025-08-02,66.815,77.5,63.1,4.082,87.542,95.0,69.0,7.905
2025-08-03,67.91,76.8,63.3,4.052,85.992,95.0,71.0,7.94
2025-08-14,68.043,75.6,65.5,2.638,87.084,93.0,74.0,5.069
2025-08-15,67.349,75.0,63.9,3.302,83.236,89.0,70.0,5.952
