state,year,co2_emissions,energy_consumption,energy_production,renewable_consumption,solar_permits,solar_kw_total,median_aqi,max_aqi,unhealthy_days,good_days,clean_energy_ratio,emission_intensity,flag
AK,2019,0.0,595801.0,1360539.0,45576.0,,,,,,,0.0765,0.0,No flag
AK,2020,0.0,626207.0,1335213.0,46845.0,,,,,,,0.0748,0.0,No flag
AK,2021,0.0,684975.0,1326603.0,48550.0,,,,,,,0.0709,0.0,No flag
AK,2022,0.0,730277.0,1347285.0,46863.0,,,,,,,0.0642,0.0,No flag
AK,2023,0.0,746978.0,1320750.0,48754.0,,,,,,,0.0653,0.0,No flag
AL,2019,22061.0,1883685.0,1185762.0,332232.0,,,,,,,0.1764,0.0117,No flag
AL,2020,21556.0,1795668.0,1134743.0,315576.0,,,,,,,0.1757,0.012,No flag
AL,2021,25448.0,1927858.0,1075785.0,325823.0,,,,,,,0.169,0.0132,No flag
AL,2022,27649.0,1904247.0,1040313.0,336143.0,,,,,,,0.1765,0.0145,No flag
AL,2023,26583.0,1860171.0,1103247.0,319973.0,,,,,,,0.172,0.0143,No flag
AR,2019,12020.0,1077563.0,813300.0,219617.0,,,,,,,0.2038,0.0112,No flag
AR,2020,10771.0,1012312.0,757176.0,207867.0,,,,,,,0.2053,0.0106,No flag
AR,2021,12028.0,1057206.0,711467.0,218637.0,,,,,,,0.2068,0.0114,No flag
AR,2022,12913.0,1058036.0,693536.0,221257.0,2.0,31.73333333333333,,,,,0.2091,0.0122,No flag
AR,2023,12885.0,1049897.0,671299.0,209353.0,39.0,662.6466666666666,,,,,0.1994,0.0123,No flag
AZ,2019,26097.0,1495891.0,483410.0,382032.0,,,,,,,0.2554,0.0174,No flag
AZ,2020,23454.0,1439270.0,396592.0,404889.0,,,,,,,0.2813,0.0163,No flag
AZ,2021,25916.0,1482635.0,402976.0,384892.0,,,,,,,0.2596,0.0175,No flag
AZ,2022,25972.0,1512022.0,408749.0,405064.0,,,,,,,0.2679,0.0172,No flag
AZ,2023,26405.0,1526567.0,411139.0,408978.0,,,,,,,0.2679,0.0173,No flag
CA,2019,131802.0,7231426.0,1840241.0,1209812.0,685.0,10962.256333333356,,,,,0.1673,0.0182,Solar growth but high emissions
CA,2020,106899.0,6432232.0,1668484.0,1259697.0,836.0,11975.670666666669,,,,,0.1958,0.0166,Solar growth but high emissions
CA,2021,118667.0,6778725.0,1634219.0,1224642.0,1208.0,14786.662666666643,,,,,0.1807,0.0175,Solar growth but high emissions
CA,2022,117919.0,6855767.0,1578579.0,1207171.0,1236.0,17571.2783333333,,,,,0.1761,0.0172,Solar growth but high emissions
CA,2023,117016.0,6816746.0,1641594.0,1166624.0,3899.0,47118.24766666669,,,,,0.1711,0.0172,Solar growth but high emissions
CO,2019,20928.0,1484292.0,3847141.0,350457.0,20.0,900.8149999999999,,,,,0.2361,0.0141,No flag
CO,2020,17999.0,1346989.0,3705270.0,334449.0,6.0,74.68,,,,,0.2483,0.0134,No flag
CO,2021,18934.0,1386460.0,3530527.0,331006.0,20.0,162.13,,,,,0.2387,0.0137,No flag
CO,2022,19635.0,1427520.0,3536433.0,334365.0,59.0,553.8983333333333,,,,,0.2342,0.0138,No flag
CO,2023,18015.0,1368260.0,3559311.0,320140.0,1.0,8.533333333333333,,,,,0.234,0.0132,No flag
